primary_key_s,id,sleep_day,total_sleep_records,total_minutes_asleep,total_time_in_bed,primary_key_d,id_1,activity_date,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories
1844505072_5/1/2016,1844505072,2016-05-01,1,590,961,1844505072_5/1/2016,1844505072,2016-05-01,2573,1.700000048,1.700000048,0.0,0.0,0.25999999,1.450000048,0.0,0,7,75,585,1541
1927972279_4/12/2016,1927972279,2016-04-12,3,750,775,1927972279_4/12/2016,1927972279,2016-04-12,678,0.469999999,0.469999999,0.0,0.0,0.0,0.469999999,0.0,0,0,55,734,2220
1927972279_4/13/2016,1927972279,2016-04-13,1,398,422,1927972279_4/13/2016,1927972279,2016-04-13,356,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0,0,32,986,2151
1927972279_4/15/2016,1927972279,2016-04-15,2,475,499,1927972279_4/15/2016,1927972279,2016-04-15,980,0.680000007,0.680000007,0.0,0.0,0.0,0.680000007,0.0,0,0,51,941,2221
1927972279_4/26/2016,1927972279,2016-04-26,1,296,315,1927972279_4/26/2016,1927972279,2016-04-26,3761,2.599999905,2.599999905,0.0,0.0,0.0,2.599999905,0.0,0,0,192,1058,2638
1927972279_4/28/2016,1927972279,2016-04-28,1,166,178,1927972279_4/28/2016,1927972279,2016-04-28,1675,1.159999967,1.159999967,0.0,0.0,0.0,1.159999967,0.0,0,0,95,1167,2351
2026352035_4/12/2016,2026352035,2016-04-12,1,503,546,2026352035_4/12/2016,2026352035,2016-04-12,4414,2.74000001,2.74000001,0.0,0.189999998,0.349999994,2.200000048,0.0,3,8,181,706,1459
2026352035_4/13/2016,2026352035,2016-04-13,1,531,565,2026352035_4/13/2016,2026352035,2016-04-13,4993,3.099999905,3.099999905,0.0,0.0,0.0,3.099999905,0.0,0,0,238,663,1521
2026352035_4/14/2016,2026352035,2016-04-14,1,545,568,2026352035_4/14/2016,2026352035,2016-04-14,3335,2.069999933,2.069999933,0.0,0.0,0.0,2.049999952,0.0,0,0,197,653,1431
2026352035_4/15/2016,2026352035,2016-04-15,1,523,573,2026352035_4/15/2016,2026352035,2016-04-15,3821,2.369999886,2.369999886,0.0,0.0,0.0,2.369999886,0.0,0,0,188,687,1444
2026352035_4/16/2016,2026352035,2016-04-16,1,524,567,2026352035_4/16/2016,2026352035,2016-04-16,2547,1.580000043,1.580000043,0.0,0.0,0.0,1.580000043,0.0,0,0,150,728,1373
2026352035_4/17/2016,2026352035,2016-04-17,1,437,498,2026352035_4/17/2016,2026352035,2016-04-17,838,0.519999981,0.519999981,0.0,0.0,0.0,0.519999981,0.0,0,0,60,1053,1214
2026352035_4/19/2016,2026352035,2016-04-19,1,498,540,2026352035_4/19/2016,2026352035,2016-04-19,2424,1.5,1.5,0.0,0.0,0.0,1.5,0.0,0,0,141,785,1356
2026352035_4/20/2016,2026352035,2016-04-20,1,461,510,2026352035_4/20/2016,2026352035,2016-04-20,7222,4.480000019,4.480000019,0.0,0.0,0.0,4.480000019,0.0,0,0,327,623,1667
2026352035_4/21/2016,2026352035,2016-04-21,1,477,514,2026352035_4/21/2016,2026352035,2016-04-21,2467,1.529999971,1.529999971,0.0,0.0,0.0,1.529999971,0.0,0,0,153,749,1370
2026352035_4/22/2016,2026352035,2016-04-22,1,520,545,2026352035_4/22/2016,2026352035,2016-04-22,2915,1.809999943,1.809999943,0.0,0.0,0.0,1.809999943,0.0,0,0,162,712,1399
2026352035_4/23/2016,2026352035,2016-04-23,1,522,554,2026352035_4/23/2016,2026352035,2016-04-23,12357,7.710000038,7.710000038,0.0,0.0,0.0,7.710000038,0.0,0,0,432,458,1916
2026352035_4/24/2016,2026352035,2016-04-24,1,555,591,2026352035_4/24/2016,2026352035,2016-04-24,3490,2.160000086,2.160000086,0.0,0.0,0.0,2.160000086,0.0,0,0,164,704,1401
2026352035_4/25/2016,2026352035,2016-04-25,1,506,531,2026352035_4/25/2016,2026352035,2016-04-25,6017,3.730000019,3.730000019,0.0,0.0,0.0,3.730000019,0.0,0,0,260,821,1576
2026352035_4/27/2016,2026352035,2016-04-27,1,508,545,2026352035_4/27/2016,2026352035,2016-04-27,6088,3.769999981,3.769999981,0.0,0.0,0.0,3.769999981,0.0,0,0,286,586,1593
2026352035_4/28/2016,2026352035,2016-04-28,1,513,545,2026352035_4/28/2016,2026352035,2016-04-28,6375,3.950000048,3.950000048,0.0,0.0,0.0,3.950000048,0.0,0,0,331,626,1649
2026352035_4/29/2016,2026352035,2016-04-29,1,490,510,2026352035_4/29/2016,2026352035,2016-04-29,7604,4.710000038,4.710000038,0.0,0.0,0.0,4.710000038,0.0,0,0,352,492,1692
2026352035_4/30/2016,2026352035,2016-04-30,1,573,607,2026352035_4/30/2016,2026352035,2016-04-30,4729,2.930000067,2.930000067,0.0,0.0,0.0,2.930000067,0.0,0,0,233,594,1506
2026352035_5/1/2016,2026352035,2016-05-01,1,527,546,2026352035_5/1/2016,2026352035,2016-05-01,3609,2.279999971,2.279999971,0.0,0.0,0.0,2.279999971,0.0,0,0,191,716,1447
2026352035_5/2/2016,2026352035,2016-05-02,1,511,543,2026352035_5/2/2016,2026352035,2016-05-02,7018,4.349999905,4.349999905,0.0,0.0,0.0,4.349999905,0.0,0,0,355,716,1690
2026352035_5/4/2016,2026352035,2016-05-04,1,538,560,2026352035_5/4/2016,2026352035,2016-05-04,6564,4.070000172,4.070000172,0.0,0.0,0.0,4.070000172,0.0,0,0,345,530,1658
2026352035_5/5/2016,2026352035,2016-05-05,1,468,485,2026352035_5/5/2016,2026352035,2016-05-05,12167,7.539999962,7.539999962,0.0,0.0,0.0,7.539999962,0.0,0,0,475,479,1926
2026352035_5/6/2016,2026352035,2016-05-06,1,524,548,2026352035_5/6/2016,2026352035,2016-05-06,8198,5.079999924,5.079999924,0.0,0.0,0.0,5.079999924,0.0,0,0,383,511,1736
2026352035_5/7/2016,2026352035,2016-05-07,1,511,521,2026352035_5/7/2016,2026352035,2016-05-07,4193,2.599999905,2.599999905,0.0,0.0,0.0,2.599999905,0.0,0,0,229,665,1491
2026352035_5/8/2016,2026352035,2016-05-08,1,541,568,2026352035_5/8/2016,2026352035,2016-05-08,5528,3.450000048,3.450000048,0.0,0.0,0.0,3.450000048,0.0,0,0,258,610,1555
2026352035_5/9/2016,2026352035,2016-05-09,1,531,556,2026352035_5/9/2016,2026352035,2016-05-09,10685,6.619999886,6.619999886,0.0,0.0,0.0,6.599999905,0.0,0,0,401,543,1869
2026352035_5/10/2016,2026352035,2016-05-10,1,357,380,2026352035_5/10/2016,2026352035,2016-05-10,254,0.159999996,0.159999996,0.0,0.0,0.0,0.159999996,0.0,0,0,17,1002,1141
2026352035_5/11/2016,2026352035,2016-05-11,1,523,553,2026352035_5/11/2016,2026352035,2016-05-11,8580,5.320000172,5.320000172,0.0,0.0,0.0,5.320000172,0.0,0,0,330,569,1698
2026352035_5/12/2016,2026352035,2016-05-12,1,456,485,2026352035_5/12/2016,2026352035,2016-05-12,8891,5.510000229,5.510000229,0.0,0.0,0.0,5.510000229,0.0,0,0,343,330,1364
2320127002_4/23/2016,2320127002,2016-04-23,1,61,69,2320127002_4/23/2016,2320127002,2016-04-23,5079,3.420000076,3.420000076,0.0,0.0,0.0,3.420000076,0.0,0,0,242,1129,1804
2347167796_4/13/2016,2347167796,2016-04-13,1,467,531,2347167796_4/13/2016,2347167796,2016-04-13,10352,7.010000229,7.010000229,0.0,1.659999967,1.940000057,3.410000086,0.0,19,32,195,676,2038
2347167796_4/14/2016,2347167796,2016-04-14,1,445,489,2347167796_4/14/2016,2347167796,2016-04-14,10129,6.699999809,6.699999809,0.0,0.02,2.74000001,3.940000057,0.0,1,48,206,705,2010
2347167796_4/15/2016,2347167796,2016-04-15,1,452,504,2347167796_4/15/2016,2347167796,2016-04-15,10465,6.920000076,6.920000076,0.0,0.07,1.419999957,5.429999828,0.0,1,24,284,720,2133
2347167796_4/17/2016,2347167796,2016-04-17,1,556,602,2347167796_4/17/2016,2347167796,2016-04-17,5472,3.619999886,3.619999886,0.0,0.079999998,0.280000001,3.25999999,0.0,1,7,249,508,1882
2347167796_4/18/2016,2347167796,2016-04-18,1,500,557,2347167796_4/18/2016,2347167796,2016-04-18,8247,5.449999809,5.449999809,0.0,0.790000021,0.860000014,3.789999962,0.0,11,16,206,678,1944
2347167796_4/19/2016,2347167796,2016-04-19,1,465,514,2347167796_4/19/2016,2347167796,2016-04-19,6711,4.440000057,4.440000057,0.0,0.0,0.0,4.440000057,0.0,0,7,382,648,2346
2347167796_4/21/2016,2347167796,2016-04-21,1,460,484,2347167796_4/21/2016,2347167796,2016-04-21,10080,6.75,6.75,0.0,1.850000024,1.529999971,3.380000114,0.0,23,26,208,761,2048
2347167796_4/22/2016,2347167796,2016-04-22,1,405,461,2347167796_4/22/2016,2347167796,2016-04-22,7804,5.159999847,5.159999847,0.0,0.560000002,1.679999948,2.920000076,0.0,9,27,206,781,1946
2347167796_4/23/2016,2347167796,2016-04-23,1,374,386,2347167796_4/23/2016,2347167796,2016-04-23,16901,11.36999989,11.36999989,0.0,2.779999971,1.450000048,7.150000095,0.0,32,35,360,591,2629
2347167796_4/24/2016,2347167796,2016-04-24,1,442,459,2347167796_4/24/2016,2347167796,2016-04-24,9471,6.260000229,6.260000229,0.0,0.0,0.0,6.260000229,0.0,0,0,360,584,2187
2347167796_4/25/2016,2347167796,2016-04-25,1,433,471,2347167796_4/25/2016,2347167796,2016-04-25,9482,6.380000114,6.380000114,0.0,1.269999981,0.519999981,4.599999905,0.0,15,11,277,653,2095
2347167796_4/26/2016,2347167796,2016-04-26,1,436,490,2347167796_4/26/2016,2347167796,2016-04-26,5980,3.950000048,3.950000048,0.0,0.0,0.0,3.950000048,0.0,0,0,227,732,1861
2347167796_4/27/2016,2347167796,2016-04-27,1,448,499,2347167796_4/27/2016,2347167796,2016-04-27,11423,7.579999924,7.579999924,0.0,1.860000014,0.400000006,5.320000172,0.0,26,9,295,623,2194
2347167796_4/28/2016,2347167796,2016-04-28,1,408,450,2347167796_4/28/2016,2347167796,2016-04-28,5439,3.599999905,3.599999905,0.0,0.0,0.0,3.599999905,0.0,0,0,229,764,1854
2347167796_4/29/2016,2347167796,2016-04-29,1,411,473,2347167796_4/29/2016,2347167796,2016-04-29,42,0.029999999,0.029999999,0.0,0.0,0.0,0.029999999,0.0,0,0,4,2,403
3977333714_4/12/2016,3977333714,2016-04-12,1,274,469,3977333714_4/12/2016,3977333714,2016-04-12,8856,5.980000019,5.980000019,0.0,3.059999943,0.910000026,2.00999999,0.0,44,19,131,777,1450
3977333714_4/13/2016,3977333714,2016-04-13,2,295,456,3977333714_4/13/2016,3977333714,2016-04-13,10035,6.710000038,6.710000038,0.0,2.029999971,2.130000114,2.549999952,0.0,31,46,153,754,1495
3977333714_4/14/2016,3977333714,2016-04-14,1,291,397,3977333714_4/14/2016,3977333714,2016-04-14,7641,5.110000134,5.110000134,0.0,0.319999993,0.970000029,3.819999933,0.0,5,23,214,801,1433
3977333714_4/15/2016,3977333714,2016-04-15,1,424,556,3977333714_4/15/2016,3977333714,2016-04-15,9010,6.059999943,6.059999943,0.0,1.049999952,1.75,3.25999999,0.0,15,42,183,644,1468
3977333714_4/16/2016,3977333714,2016-04-16,1,283,510,3977333714_4/16/2016,3977333714,2016-04-16,13459,9.0,9.0,0.0,2.029999971,4.0,2.970000029,0.0,31,83,153,663,1625
3977333714_4/17/2016,3977333714,2016-04-17,1,381,566,3977333714_4/17/2016,3977333714,2016-04-17,10415,6.96999979,6.96999979,0.0,0.699999988,2.349999905,3.920000076,0.0,11,58,205,600,1529
3977333714_4/18/2016,3977333714,2016-04-18,2,412,522,3977333714_4/18/2016,3977333714,2016-04-18,11663,7.800000191,7.800000191,0.0,0.25,3.730000019,3.819999933,0.0,4,95,214,605,1584
3977333714_4/19/2016,3977333714,2016-04-19,1,219,395,3977333714_4/19/2016,3977333714,2016-04-19,12414,8.779999733,8.779999733,0.0,2.24000001,2.450000048,3.960000038,0.0,19,67,221,738,1638
3977333714_4/20/2016,3977333714,2016-04-20,2,152,305,3977333714_4/20/2016,3977333714,2016-04-20,11658,7.829999924,7.829999924,0.0,0.200000003,4.349999905,3.279999971,0.0,2,98,164,845,1554
3977333714_4/21/2016,3977333714,2016-04-21,1,332,512,3977333714_4/21/2016,3977333714,2016-04-21,6093,4.079999924,4.079999924,0.0,0.0,0.0,4.059999943,0.0,0,0,242,712,1397
3977333714_4/22/2016,3977333714,2016-04-22,1,355,476,3977333714_4/22/2016,3977333714,2016-04-22,8911,5.960000038,5.960000038,0.0,2.329999924,0.579999983,3.059999943,0.0,33,12,188,731,1481
3977333714_4/23/2016,3977333714,2016-04-23,1,235,372,3977333714_4/23/2016,3977333714,2016-04-23,12058,8.069999695,8.069999695,0.0,0.0,4.21999979,3.849999905,0.0,0,92,252,724,1638
3977333714_4/24/2016,3977333714,2016-04-24,1,310,526,3977333714_4/24/2016,3977333714,2016-04-24,14112,10.0,10.0,0.0,3.269999981,4.559999943,2.170000076,0.0,30,95,129,660,1655
3977333714_4/25/2016,3977333714,2016-04-25,1,262,467,3977333714_4/25/2016,3977333714,2016-04-25,11177,8.479999542,8.479999542,0.0,5.619999886,0.430000007,2.410000086,0.0,50,9,133,781,1570
3977333714_4/26/2016,3977333714,2016-04-26,1,250,371,3977333714_4/26/2016,3977333714,2016-04-26,11388,7.619999886,7.619999886,0.0,0.449999988,4.21999979,2.950000048,0.0,7,95,170,797,1551
3977333714_4/27/2016,3977333714,2016-04-27,1,349,540,3977333714_4/27/2016,3977333714,2016-04-27,7193,5.039999962,5.039999962,0.0,0.0,0.419999987,4.619999886,0.0,0,10,176,714,1377
3977333714_4/28/2016,3977333714,2016-04-28,1,261,423,3977333714_4/28/2016,3977333714,2016-04-28,7114,4.880000114,4.880000114,0.0,1.370000005,0.289999992,3.220000029,0.0,15,8,190,804,1407
3977333714_4/29/2016,3977333714,2016-04-29,1,333,478,3977333714_4/29/2016,3977333714,2016-04-29,10645,7.75,7.75,0.0,3.74000001,1.299999952,2.710000038,0.0,36,32,150,744,1545
3977333714_4/30/2016,3977333714,2016-04-30,1,237,382,3977333714_4/30/2016,3977333714,2016-04-30,13238,9.199999809,9.199999809,0.0,3.690000057,2.099999905,3.410000086,0.0,43,52,194,687,1650
3977333714_5/1/2016,3977333714,2016-05-01,1,383,626,3977333714_5/1/2016,3977333714,2016-05-01,10414,7.070000172,7.070000172,0.0,2.670000076,1.980000019,2.410000086,0.0,41,40,124,691,1501
3977333714_5/2/2016,3977333714,2016-05-02,1,230,384,3977333714_5/2/2016,3977333714,2016-05-02,16520,11.05000019,11.05000019,0.0,1.539999962,6.480000019,3.019999981,0.0,24,143,176,713,1760
3977333714_5/3/2016,3977333714,2016-05-03,1,292,500,3977333714_5/3/2016,3977333714,2016-05-03,14335,9.590000153,9.590000153,0.0,3.319999933,1.74000001,4.53000021,0.0,47,41,258,594,1710
3977333714_5/4/2016,3977333714,2016-05-04,1,213,336,3977333714_5/4/2016,3977333714,2016-05-04,13559,9.43999958,9.43999958,0.0,1.809999943,4.579999924,2.890000105,0.0,14,96,142,852,1628
3977333714_5/5/2016,3977333714,2016-05-05,1,318,480,3977333714_5/5/2016,3977333714,2016-05-05,12312,8.579999924,8.579999924,0.0,1.75999999,4.110000134,2.710000038,0.0,14,88,178,680,1618
3977333714_5/6/2016,3977333714,2016-05-06,1,323,512,3977333714_5/6/2016,3977333714,2016-05-06,11677,8.279999733,8.279999733,0.0,3.109999895,2.50999999,2.670000076,0.0,29,55,168,676,1590
3977333714_5/7/2016,3977333714,2016-05-07,1,237,443,3977333714_5/7/2016,3977333714,2016-05-07,11550,7.730000019,7.730000019,0.0,0.0,4.130000114,3.589999914,0.0,0,86,208,703,1574
3977333714_5/8/2016,3977333714,2016-05-08,2,259,456,3977333714_5/8/2016,3977333714,2016-05-08,13585,9.090000153,9.090000153,0.0,0.680000007,5.239999771,3.170000076,0.0,9,116,171,688,1633
3977333714_5/10/2016,3977333714,2016-05-10,1,312,452,3977333714_5/10/2016,3977333714,2016-05-10,13072,8.779999733,8.779999733,0.0,0.07,5.400000095,3.309999943,0.0,1,115,196,676,1630
4020332650_4/12/2016,4020332650,2016-04-12,1,501,541,4020332650_4/12/2016,4020332650,2016-04-12,8539,6.119999886,6.119999886,0.0,0.150000006,0.239999995,5.679999828,0.0,4,15,331,712,3654
4020332650_4/16/2016,4020332650,2016-04-16,1,77,77,4020332650_4/16/2016,4020332650,2016-04-16,1982,1.419999957,1.419999957,0.0,0.449999988,0.370000005,0.589999974,0.0,65,21,55,1222,3051
4020332650_5/3/2016,4020332650,2016-05-03,1,322,332,4020332650_5/3/2016,4020332650,2016-05-03,4496,3.220000029,3.220000029,0.0,0.0,0.0,3.150000095,0.050000001,0,0,174,950,2828
4020332650_5/4/2016,4020332650,2016-05-04,1,478,536,4020332650_5/4/2016,4020332650,2016-05-04,10252,7.349999905,7.349999905,0.0,0.670000017,1.039999962,5.579999924,0.0,13,46,346,531,3879
4020332650_5/5/2016,4020332650,2016-05-05,1,226,248,4020332650_5/5/2016,4020332650,2016-05-05,11728,8.430000305,8.430000305,0.0,2.619999886,1.679999948,4.039999962,0.07,38,42,196,916,3429
4020332650_5/6/2016,4020332650,2016-05-06,1,385,408,4020332650_5/6/2016,4020332650,2016-05-06,4369,3.130000114,3.130000114,0.0,0.0,0.0,3.099999905,0.01,0,0,177,855,2704
4020332650_5/8/2016,4020332650,2016-05-08,1,364,402,4020332650_5/8/2016,4020332650,2016-05-08,5862,4.199999809,4.199999809,0.0,0.0,0.0,4.150000095,0.0,0,0,263,775,3089
4020332650_5/10/2016,4020332650,2016-05-10,1,442,494,4020332650_5/10/2016,4020332650,2016-05-10,5546,3.980000019,3.980000019,0.0,0.0,0.0,3.869999886,0.039999999,0,0,206,774,2926
4319703577_4/14/2016,4319703577,2016-04-14,1,535,557,4319703577_4/14/2016,4319703577,2016-04-14,10210,6.880000114,6.880000114,0.0,0.109999999,0.330000013,6.440000057,0.0,1,9,339,589,2302
4319703577_4/15/2016,4319703577,2016-04-15,1,465,491,4319703577_4/15/2016,4319703577,2016-04-15,5664,3.799999952,3.799999952,0.0,0.0,0.0,3.799999952,0.0,0,0,228,752,1985
4319703577_4/16/2016,4319703577,2016-04-16,1,506,522,4319703577_4/16/2016,4319703577,2016-04-16,4744,3.180000067,3.180000067,0.0,0.0,0.0,3.180000067,0.0,0,0,194,724,1884
4319703577_4/18/2016,4319703577,2016-04-18,1,515,551,4319703577_4/18/2016,4319703577,2016-04-18,2276,1.549999952,1.549999952,0.0,0.07,0.330000013,1.120000005,0.0,1,9,58,824,1632
4319703577_4/19/2016,4319703577,2016-04-19,2,461,498,4319703577_4/19/2016,4319703577,2016-04-19,8925,5.989999771,5.989999771,0.0,0.0,0.0,5.989999771,0.0,0,0,311,604,2200
4319703577_4/20/2016,4319703577,2016-04-20,1,523,543,4319703577_4/20/2016,4319703577,2016-04-20,8954,6.010000229,6.010000229,0.0,0.0,0.680000007,5.309999943,0.0,0,18,306,671,2220
4319703577_4/21/2016,4319703577,2016-04-21,1,59,65,4319703577_4/21/2016,4319703577,2016-04-21,3702,2.480000019,2.480000019,0.0,0.0,0.0,0.349999994,0.0,0,0,34,1265,1792
4319703577_4/22/2016,4319703577,2016-04-22,1,533,550,4319703577_4/22/2016,4319703577,2016-04-22,4500,3.019999981,3.019999981,0.0,0.059999999,0.810000002,2.150000095,0.0,1,19,176,709,1886
4319703577_4/23/2016,4319703577,2016-04-23,1,692,722,4319703577_4/23/2016,4319703577,2016-04-23,4935,3.309999943,3.309999943,0.0,0.0,0.0,3.309999943,0.0,0,0,233,546,1945
4319703577_4/24/2016,4319703577,2016-04-24,1,467,501,4319703577_4/24/2016,4319703577,2016-04-24,4081,2.74000001,2.74000001,0.0,0.059999999,0.200000003,2.470000029,0.0,1,5,191,692,1880
4319703577_4/25/2016,4319703577,2016-04-25,1,488,506,4319703577_4/25/2016,4319703577,2016-04-25,9259,6.210000038,6.210000038,0.0,0.0,0.280000001,5.929999828,0.0,0,8,390,544,2314
4319703577_4/26/2016,4319703577,2016-04-26,1,505,516,4319703577_4/26/2016,4319703577,2016-04-26,9899,6.639999866,6.639999866,0.0,0.569999993,0.920000017,5.150000095,0.0,8,21,288,649,2236
4319703577_4/27/2016,4319703577,2016-04-27,1,286,307,4319703577_4/27/2016,4319703577,2016-04-27,10780,7.230000019,7.230000019,0.0,0.409999996,1.919999957,4.909999847,0.0,6,47,300,680,2324
4319703577_4/28/2016,4319703577,2016-04-28,1,497,522,4319703577_4/28/2016,4319703577,2016-04-28,10817,7.28000021,7.28000021,0.0,1.00999999,0.330000013,5.940000057,0.0,13,8,359,552,2367
